callId,callDurationSec,readable_transcript
call_298da2443bf0245c7fa386e4ca3,74.47,"Agent: Hi, I 
User: Find something dry.
Agent: am Sara, a virtual assistant from the front office at Alpha Dental Dartmouth. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
User: Schloss die Whenever I eat things like that, it's dry, like bread.
User: Hello?
User: Okay.
Agent: Hi there! It seems like you might need some assistance. How can I help you today?
User: Return a call.
User: call.
Agent: If you are looking to return a call or need assistance with anything specific, please let me know how I can help!
User: Returning a call.
Agent: If you are returning a call to Alpha Dental Dartmouth, I can assist you. Could you let me know the reason for your call? For example, is it about an appointment, billing, or something else?
User: Not sure.
Agent: No problem! If you are unsure, I can connect you to our front office team, and they will assist you further. Let me transfer your call."
call_7ffb22c033a77843f534937335e,74.005,"Agent: Hi there! I’m Sara, a virtual assistant from the front office at Halifax Family Dental. I’m here to assist you with appointments, billing, and any clinic-related queries. How can I help you today?
User: Hi. This is Richard Warren. I'm I need to make an appointment with doctor Lima from to complete the work on my case.
Agent: Since you're looking to make an appointment, I'll need to transfer your call to our clinic staff who can assist you further. Please hold on for a moment while I do that.
Agent: It seems like I haven't heard back from you. If you're still there, I'm ready to assist you with making that appointment. Just let me know!
User: I'm here, and I need an appointment with Doctor Lima. To complete my case. It was expected that she would need me in the seat for an hour.
Agent: I'm transferring your call to our clinic staff to help you schedule an appointment with Doctor Lima. Please hold on."
call_40cc213cd3ac6bf393c6889e449,113.483,"Agent: Hello! I am Sara, a virtual assistant from the front office at Alpha Dental Fall River. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
User: I get appointment with think I have the wrong number. This is and document, they have another number. Right?
Agent: You 
User: I call for River.
Agent: have reached Alpha Dental 
Agent: You 
User: Yeah. But I'm
Agent: have reached Alpha Dental Fall River. Our clinic is located at 230 Rhode Island Ave, Fall River. If you need assistance with appointments or any other queries, I am here to help. What would you like to do?
User: I had appointment Thursday with Isabella for cleaning. But I can't make this appointment.
User: this appointment. I have the same time for my primary doctor.
User: So I like to change for another day.
User: Or if you have in the afternoon, it's fine.
Agent: I hope everything is okay. Could you please share the reason for rescheduling this appointment?
User: I have the same time with my primary doctor
Agent: Thank you for letting me know. Could you please provide the patient's date of birth to proceed with rescheduling the appointment?
User: It's Francisco Ferraro.
Agent: Thank you. Could you please provide Francisco Ferraro's date of birth?
User: Four five fifty two.
Agent: To confirm, Francisco Ferraro's date of birth is April 5th, 1952. Let me proceed 
User: Yes.
Agent: with your request.It seems I am unable to locate Francisco Ferraro's appointment details in our system. I will connect you to the rescheduling team for further assistance."
call_ef8f290ef96d31d9ebaeafa120c,302.627,"Agent: Hello! I am Sara, a virtual assistant from the front office at Halifax Family Dental. I'm here to assist you with appointment, billing, and clinic-related queries. How can I assist you today?
User: Front desk.
Agent: It seems like you might have a specific request related to your appointment or something else. Could you please provide a bit more detail about what you need help with?
User: Front desk.
Agent: I understand you're looking for front desk assistance. Could you please let me know what specific help you need? Are you looking to book, cancel, or confirm an appointment, or do you have another inquiry?
User: Cancel.
Agent: I can help you with that! Could you please provide the reason for the cancellation?
User: Doctor doesn't need to see me.
Agent: Thank you for that information! Now, could you please provide the patient's date of birth?
User: 06/03/1963.
Agent: Just to confirm, that's June 3rd, 1963. Let me proceed with your request to cancel the appointment. One moment, please.
Agent: I appreciate your patience! If you could please hold on for a moment while I check the appointment details, that would be great. Thank you!
User: (inaudible speech)
Agent: It seems that I couldn't find any appointments associated with that date of birth. I will need to transfer your call to the clinic for further assistance. Please hold on for a moment.
Agent: I just wanted to check in with you. I'm going to transfer your call to the clinic for further assistance. Please hold on for a moment."
call_edbb859fa8c564e4012ec475889,69.472,"Agent: Hello!
User: Hello? I am Sarah. 
Agent:  I am Sara, a virtual assistant from 
User: Virtual assistant Hi.
Agent: Hi Sarah! It is great to meet you. I am Sara, a virtual assistant from the front office at Alpha Dental Fall River. I am here to assist with appointments, billing, and clinic-related queries. How can I help you today?
User: Speaking Spanish.
Agent: ¡Hola! Soy Sara, asistente virtual de la recepción de Alpha Dental Fall River. Estoy aquí para ayudarte con citas, facturación y consultas relacionadas con la clínica. ¿En qué puedo ayudarte hoy?
User: Buenas tardes. Disculpe, quería reservar una cita para la limpieza de dientes, por favor, Carissa.
User: O puedo acercar a ella mismo
Agent: Claro, entiendo. Para reservar una cita, voy a transferir tu llamada al equipo de programación. Un momento, por favor."
call_e0fe6905bb708475dd337af451c,68.771,"Agent: Hello! I am 
User: Hello. I am Sarah, 
Agent: Sara, a virtual assistant from the front office at 
User: a virtual assistant from the front office at a study
Agent: It seems like there might have been a 
User: It seems like there might have been 
Agent: mix-up. I'm Sara, a 
User: a mix up. I'm Sarah
Agent: Hi 
User: Hello? 
Agent: Sarah! How can I assist you today?
User: I need an appointment.
Agent: I can help with that! Since you're looking to book an appointment, I'll transfer you to our clinic staff who can assist you further. Please hold on for a moment while I do that.
Agent: Just a quick reminder, I'm here to help you with booking your appointment. If you're still interested, please let me know!
User: Yes.
Agent: I'm transferring you to our clinic staff to help you book your appointment. Please hold on for a moment."
call_a8e3612bd9503958307e1b5f5af,69.613,"Agent: Hello, I am Sara, a virtual assistant from the front office at Halifax Family Dental. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
User: Uh, it's Kevin Dunn. He has an appointment tomorrow at twelve thirty, and they wanna reschedule it. So if they can give me a callback tomorrow sometime, I will reschedule this appointment. His name is Kevin Dunn.
Agent: We hope everything is okay. To assist with 
User: Everything's
Agent: rescheduling Kevin Dunn's appointment, I will need his date of birth. Could you please provide that?
User: Seven twenty two sixty nine.
Agent: Thank you for providing the date of birth, July 22, 1969. Let me proceed with your request. I will check Kevin Dunn's appointments and assist with rescheduling. Please hold on for a moment.It seems there are no appointments currently listed for Kevin Dunn in our system. I will connect you to our scheduling team to assist further with rescheduling. Please hold on."
call_46b1b45566ac821361e6cc5e298,328.116,"Agent: Hi there! I'm Sara, a virtual assistant from the front office at Alpha Dental Fall River. I'm here to assist you with appointment, billing, and clinic-related queries. How can I assist you today?
Agent: I just wanted to check in and see if you need any assistance or have any questions! I'm here to help."
call_32b9768d31908caa816c43ac32d,186.964,"Agent: Hi there! I’m Sara, a virtual assistant from the front office at Alpha Dental of Fall River. I'm here to help with appointments, billing, and any clinic-related questions you might have. How can I assist you today?
User: Hello?
Agent: Hello! How can I assist you today?
User: Yeah. I called you because I forgot my appointment I don't know today or tomorrow.
Agent: I can help you with that! Could you please provide me with the patient's date of birth?
User: 03/16/1951.
Agent: Thank 
Agent: you! Just to confirm, that's March 16, 1951. Let me check your 
User: Yeah. Okay. Thank you. 
Agent: appointment details. One moment, please.It looks like I couldn't find any appointments 
User: Okay.
Agent: You're welcome! If you have any other questions or need further assistance, feel free to ask. Have a great day!
User: Hello?
Agent: Hello again! How can I assist you today?
User: Yes. I'm I have one appointment for the daughter. I'm I'm forgot the the today or tomorrow.
Agent: I can help you with that! Could you please provide me with your daughter's date of birth?
User: My birthday ends in 03/16/1951.
Agent: Just to clarify, is your daughter's date of birth also March 16, 1951, or is it different?
User: 03/16/1951.
Agent: Thank you for confirming! Just to clarify, that's March 16, 1951. Let me check the appointment details for your daughter. One moment, please.
Agent: It seems like I haven't heard back from you. If you need assistance, feel free to let me know! I'm here to help."
call_6ae039f2d72fe0dd0d38a3d34ba,79.213,"Agent: Hello! I am Sara, a virtual assistant from the front office at Alpha Dental Attleboro. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?"
call_7c07a57e0db904b65fda224a638,66.554,"Agent: Hello!
User: Hello? Think
Agent:  I am Sara, a virtual assistant from the front office at Hull Family Dental. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
User: I'm checking on an appointment.
Agent: Could you please provide the patient's date of birth? I will check the appointment details for you.
User: Nine ten forty.
Agent: Just to confirm, the date of birth is September 10, 1940. Is that correct?
User: Yes.
User: Yes.
Agent: It seems there are no upcoming appointments scheduled for Charles Fleming. Would you like me to assist you with booking a new appointment?
User: Yes.
User: I thought I had one for tomorrow.
Agent: It seems there is no appointment listed for tomorrow. I will transfer your call to the scheduling team to confirm or book an appointment for you. Please hold on."
call_6b39463fca5dd87c6a2b2a9ca87,122.701,"Agent: Hi there!
User: (inaudible speech)
Agent:  I’m Sara, a virtual assistant from the front office at Alpha Dental of Fall River. I'm here to assist you with appointments, billing, and any clinic-related queries. How can I assist you today?
User: Confirm an appointment.
Agent: Could you please provide me with the patient's date of birth?
User: 01/24/1988.
Agent: Just to confirm, that's January 24th, 1988. Let me check the appointment details for you. One moment, please!
Agent: I appreciate your patience! I'm checking the appointment details now. Please hold on for just a moment."
call_1ae2b1f7141c978deb5de3914bc,63.751,"Agent: Hello, I am Sara, a virtual assistant from the front office at Halifax Family Dental. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
User: Appointment.
Agent: Could you please clarify if you would like to book a new appointment, confirm an existing one, reschedule, or cancel an appointment?
Agent: Just checking in—would you like assistance with booking, confirming, rescheduling, or canceling an appointment? Let me know how I can help!"
call_75206aafc43a83699ed26ac6107,118.978,"Agent: Hi, I am Sara, a virtual assistant from the front office at Hull Family Dental. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
User: Uh, I have an eleven o'clock appointment today, and I'm gonna have to cancel.
Agent: I am sorry to hear that you need to cancel your appointment. Could you please let me know the reason for the cancellation?
User: Death and the family.
Agent: I am so sorry for your loss. Let me assist you with canceling the appointment. Could you please provide the patient's date of birth?
User: Three twenty five forty four.
Agent: Thank 
Agent: you. To confirm, the date of birth is March 25th, 1944. Let me proceed with your request.I see an appointment scheduled for today, Thursday, July 17th, at 11 AM. Could you confirm if this is the appointment you would like to cancel?
User: Yes.
User: Yes.
User: That's the appointment I wanna cancel.
Agent: Your appointment for today, Thursday, July 17th, at 11 AM has been successfully canceled. Is there anything else I can assist you with?
User: Uh, yes. I'd like to reschedule my appointment.
Agent: I hope everything is okay. Could you please let me know the reason for rescheduling your appointment?
User: Just"
call_cdcff44782ffb9d7bc7d72b5b73,263.611,"Agent: Hi there! I'm Sara, a virtual assistant from the front office at Alpha Dental of Fall River. I'm here to assist you with appointments, billing, and any clinic-related queries. How can I help you today?
Agent: It seems like I haven't heard back from you. If you have any questions or need assistance, feel free to let me know! I'm here to help."
call_88d8ff6fccf690b511bfe246c8a,80.214,"Agent: Hello! I am Sara, a virtual assistant from the front office at Hull Family Dental. I'm here to assist you with appointment, billing, and clinic-related queries. How can I assist you today?
Agent: I just wanted to check in and see if you need any assistance or have any questions. I'm here to help!
User: This is an important message from the Wear River Water System. This is a reminder. In an effort to stay within the limits of our water management registration constraints, strain on our sources, and to conserve water. The Weir River Water System has implemented annual restrictions effective May 1. 2025 until further notice. We will communicate any extension or elevation of this water conservation effort to all users. For full details, please visit our website at www.ma.gov/881/waterconservationrestrictions."
call_951bd0d01416e0f8c8e4bee77f5,117.334,"Agent: Hello! I am Sara, a virtual assistant from the 
User: Yeah. Thank
Agent: front office at Alpha Dental Attleboro. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
Agent: I just wanted to check in to see how I can assist you today. Please let me know if you need help with appointments, billing, or any other clinic-related queries!
User: Yeah. I'm fine.
User: In the press.
Agent: I'm glad to hear that! If you ever need assistance with anything related to Alpha Dental Attleboro, feel free to reach out. Have a wonderful day!
Agent: Just checking in—please let me know if there's anything I can assist you with regarding appointments, billing, or any other queries related to Alpha Dental Attleboro. I'm here to help!"
call_fffb94737bc4e611012da818e08,143.867,"Agent: Hi there! I'm Sara, a virtual assistant from the front office at Alpha Dental Fall River. I'm here to assist you with appointment, billing, and clinic-related queries. How can I assist you today?
User: Appointment.
Agent: Could you please let me know if you're calling about an existing appointment, would like to book a new appointment, or need to reschedule?
User: Book a new appointment.
Agent: I'll transfer your call to our clinic staff who can help you with booking a new appointment. Please hold on for a moment while I do that.
Agent: Just a quick reminder, I'm transferring your call to our clinic staff to assist you with booking a new appointment. Please hold on for a moment.
User: Hello?
Agent: I'm transferring your call to our clinic staff to assist you with booking a new appointment. Please hold on for a moment."
call_eb4e7cbecfa461e132d79bbb6c9,62.764,"Agent: Hi there! I'm Sara, a virtual assistant from the front office at Alpha Dental Fall River. I'm here to assist you with appointments, billing, and any clinic-related queries. How can I assist you today?
User: I'd like to make an emergency appointment for my daughter.
Agent: I can help with that! I'll transfer your call to our clinic staff who can assist you with booking an emergency appointment. Please hold on for a moment while I connect you.
Agent: Just a quick reminder, I'm here to help you with that emergency appointment for your daughter. If you're ready, I can transfer your call to our clinic staff. Let me know!
User: Yes.
Agent: I'm transferring your call to the clinic staff to help you with booking an emergency appointment for your daughter. Please hold on."
call_3fd3003e6d67d68429f2455f699,105.029,"Agent: Hi, I am Sara, a virtual assistant from the front office at Alpha Dental Attleboro. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
User: Reschedule appointment.
Agent: I hope everything is okay. Could I please know the reason for rescheduling your appointment?
User: Earlier time.
Agent: Got it. Could you please provide the patient's date of birth?
User: Five twenty three sixty.
Agent: To confirm, the date of birth is May 23, 1960. Let me proceed with your request.Your current appointment is scheduled for Wednesday, July 16th at 3 PM. Could you please let me know your preferred new appointment date?
User: Thursday. July seventeenth.
User: At eleven AM.
User: AM.
Agent: Would you mind holding on for a second while I check for the best available slots?
User: Okay.
Agent: Unfortunately, there are no available slots on Thursday, July 17th. However, the next available slots are on Friday, July 18th. The first slot is from 12:30 PM to 1:15 PM. Would you like to book this slot?
User: No."
call_8360bd2eee315f70fad6e80a711,182.569,"Agent: Hello! I am Sara, a virtual assistant from the front office at Alpha Dental Fall River. I'm here to assist you with appointment, billing, and clinic-related queries. How can I assist you today?
User: Appointment.
Agent: Could you please let me know if you're a new patient or if you have an existing appointment?
User: Existing appointment.
Agent: Could you please provide the patient's date of birth?
User: Five twelve seventy nine.
Agent: Just to confirm, that's May 12, 1979. Is that correct?
User: Yes.
Agent: I found the appointments for Kenneth T Rego. Here are the upcoming appointment times:

- Tuesday, June 10th, 2025 at 9:00 AM
- Tuesday, June 17th, 2025 at 11:00 AM

Is there anything specific you would like to know about these appointments?
User: Change appointment.
User: Cancel appointment.
User: Reschedule appointment.
Agent: Could you please provide the reason for the cancellation?
User: Personal matter.
Agent: Thank you for sharing that. I need to confirm the patient's date of birth again. Could you please provide it?
User: 05:12 seventy nine.
Agent: Just to confirm, that's May 12, 1979. Is that correct?
User: Yes. Yes.
Agent: I found the appointments for Kenneth T Rego. Here are the upcoming appointment times:

- Tuesday, June 10th, 2025 at 9:00 AM
- Tuesday, June 17th, 2025 at 11:00 AM

Which appointment would you like to cancel?
User: June 10. 9AM.
Agent: Your appointment on Tuesday, June 10th, 2025 at 9:00 AM has been successfully cancelled due to a personal matter.Is there anything else I can assist you with today?
User: Reschedule that appointment.
Agent: I'll transfer your call to our clinic staff so they can help you reschedule the appointment. Please hold on for a moment."
call_3e38279955b9b92859d507e2f92,60.95,"Agent: Hi there! I’m Sara, a virtual assistant from the front office at Alpha Dental of Fall River. I’m here to assist you with appointments, billing, and any clinic-related queries. How can I help you today?
User: Hello?
Agent: Hello! How can I assist you today?
User: Just returning a phone call that I missed.
Agent: I can help with that! Could you please let me know if you have any specific questions or if you need assistance with an appointment?
User: No.
Agent: Alright! If there's nothing else you need, feel free to reach out anytime. Thank you for contacting Alpha Dental of Fall River! Have a great day!"
call_f48827d17060f53ba1a7dc4e8a0,126.597,"Agent: Hello! I am Sara, a virtual assistant from the front office at Aesthetic Dental of Whitman. I'm here to assist you with appointment, billing, and clinic-related queries. How can I assist you today?
User: I'm trying to find out what time my appointment is.
Agent: Could you please provide me with the patient's date of birth? This will help me look up the appointment details for you.
User: 01/30/1970
Agent: Just to confirm, your date of birth is January 30, 1970. Let me check your appointment details now. One moment, please.
Agent: I appreciate your patience! I'm checking your appointment details now. Just a moment longer, please."
call_6c168ff6dec252f3c7ef0efe036,87.244,"Agent: Hi there! I’m Sara, a virtual assistant from the front office at Alpha Dental of Fall River. I’m here to assist you with appointments, billing, and any clinic-related queries. How can I assist you today?
User: Appointment.
Agent: Could you please let me know if you're calling about an existing appointment, or would you like to book a new one?
Agent: I just wanted to check in! If you need help with an existing appointment or want to book a new one, feel free to let me know. I'm here to assist you!
User: No.
User: (inaudible speech)
Agent: It seems like you might not have any specific requests right now. If there's anything else you need or if you have any questions later, just let me know!
User: Are you are you?
Agent: I’m here to help! If you have any questions or need assistance with something specific, just let me know. What can I do for you today?"
call_25f2c14ab57d76a799323af01cd,329.481,"Agent: Hello! I am Sara, a virtual assistant from the front office at Hull Family Dental. I'm here to assist you with appointment, billing, and clinic-related queries. How can I assist you today?
Agent: It seems like I haven't heard back from you. If you have any questions or need assistance, feel free to let me know! I'm here to help."
call_47eb9663fd234d84ae7b33c11c6,62.639,"Agent: Hello! I am Sara, a virtual assistant from the front office at Alpha Dental Fall River. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
User: Appointment.
Agent: Could 
User: Appointment.
Agent: you please tell me if you are looking to book, confirm, reschedule, or cancel an appointment?
User: Reschedulant.
Agent: I understand you would like to reschedule your appointment. I hope everything is okay. Could you please let me know the reason for rescheduling?
User: No.
User: No. It's the
Agent: Got it. Could you please provide the patient's date of birth so I can assist you further?"
call_f9e0e4d869d97888658cace45dd,60.963,"Agent: Hello, I am Sara, a virtual assistant from the front office at Weymouth Family Dental Care. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
User: Confirm appointment.
Agent: May I have the patient's date of birth, please?
User: May twentieth nineteen eighty six.
Agent: You have an appointment scheduled for Tuesday, July 1st at One PM. Could you confirm if this is the appointment you'd like to confirm?
User: Yes.
Agent: Your appointment for Tuesday, July 1st at One PM has been successfully confirmed. Is there anything else I can assist you with?
User: Help"
call_a5f3d5bc6ca1426a2daa26e1ee0,89.462,"Agent: Hi there! I'm Sara, a virtual assistant from the front office at Alpha Dental Fall River. I'm here to assist you with appointment, billing, and clinic-related queries. How can I assist you today?
Agent: I just wanted to check in and see if you need any assistance or have any questions. I'm here to help!
User: Buenas tardes.
Agent: ¡Buenas tardes! Soy Sara, asistente virtual de la oficina de Alpha Dental Fall River. Estoy aquí para ayudar con citas, facturación y consultas relacionadas con la clínica. ¿En qué puedo ayudarte hoy?
User: Buenas tardes. Disculpe, quisiera poder sacar una cita mi bebé, por favor.
Agent: Claro, estaré encantada de ayudarte a sacar una cita para tu bebé. Voy a transferir tu llamada al personal de la clínica para que puedan ayudarte con eso. Por favor, espera un momento mientras realizo la transferencia.
User: Ok, muchas gracias.
Agent: Voy a transferir tu llamada al personal de la clínica para que puedan ayudarte a sacar una cita para tu bebé. Por favor, espera un momento."
call_a920f4cf82ff31118af39149fad,63.849,"Agent: Hello, I am Sara, a virtual assistant from the front office at Weymouth Family Dental Care. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
User: I need to speak to you, ma'am. Sarah.
Agent: Of course, I’m here to help! Please let me know how I can assist you today.
User: I have the patient of yours, Linda Garner.
User: Date of birth, five thirteen nineteen sixty six. Are you able to confirm that?
Agent: Thank you for providing the date of birth. To confirm, you mentioned May 13th, 1966. Let me check the details for 
User: Yep.
Agent: Linda Garner. One moment, please.It seems I couldn't locate any records for Linda Garner with the provided date of birth, May 13th, 1966. I will transfer your call to our scheduling team for further assistance. One moment, please.
User: Hello?"
call_1f261659b9685a7dfd3a8c933a0,68.038,"Agent: Hello! I am Sara, a virtual assistant from the front office at Halifax Family Dental. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
Agent: Just checking in—how can I assist you today? Let me know if you need help with appointments, billing, or any other clinic-related queries!"
call_64306707eddd09449d19ea1099d,96.619,"Agent: Hello! I am Sara, a virtual assistant from the front office at Alpha Dental Taunton. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
Agent: Just checking in—how can I assist you today? Let me know if you need help with appointments, billing, or any other clinic-related queries!"
call_58e1e242380ee3095f055052218,88.759,"Agent: Hello, I am Sara, a virtual assistant from the front office at Weymouth Family Dental Care. I am here to assist with appointment, billing, and clinic-related queries. How can I assist you today?
Agent: I just wanted to check in and see how I can assist you today. Please let me know if you need help with 
User: Hey, 
Agent: appointments, 
User: doc. This is Leonard BC calling from Shack and First up in Buffalo, New York. I just wanted to give you a call. I sent some emails and some text We're hosting our big annual meeting on August one and two at the Four Seasons Resort at Disney for our international Academy of Mini Dental Implants. We've got two world class speakers, doctor Robert Miller and doctor Ernesto Leon. We're going to be offering sixteen CE credits. Registration is half right now.
User: now. It's only six ninety five. It's typically twelve ninety five. We've also secured a three hundred and fifty dollar room rate at the hotel. It's normally over six hundred dollars.
User: Just let us know if you'd like more info, and we can help get you registered. Give us a callback here, or just give us a call at seven one six eight three nine two nine five nine.
User: five nine. You can speak with myself, Fitz, William, Joey, anybody will be able to help. Just let us know if you're interested.
User: Looking forward to hearing from you. Okay? Bye bye."
